date,state,contact,age,gender,category_level2,category_level3,amount,no_of_reports
2023-11-01,NSW,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,88200.0,4
2023-01-01,VIC,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,35200.0,4
2023-03-01,VIC,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,150.0,2
2023-09-01,VIC,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,215400.0,6
2023-12-01,VIC,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,2000.0,2
2023-02-01,QLD,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,75105.0,5
2023-07-01,WA,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,1100.0,3
2023-12-01,QLD,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,50250.0,4
2023-01-01,VIC,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,456645.0,6
2023-01-01,NSW,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,10000.0,2
2023-02-01,OTHERS,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,200.0,2
2023-02-01,SA,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,1000.0,2
2023-03-01,OTHERS,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,14400.0,2
2023-04-01,VIC,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,143100.0,3
2023-04-01,OTHERS,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,170.0,3
2023-05-01,QLD,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,16300.0,5
2023-09-01,OTHERS,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,40472.0,4
2023-11-01,NSW,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,61541.0,6
2023-01-01,OTHERS,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,80.0,2
2023-06-01,NSW,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,20665.0,3
2023-09-01,NSW,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,20000.0,2
2023-02-01,VIC,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,36000.0,2
2023-02-01,VIC,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,3500.0,5
2023-03-01,VIC,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,100.0,2
2023-04-01,VIC,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,1400.0,4
2023-05-01,VIC,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,7000.0,3
2023-01-01,WA,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,5145.0,2
2023-02-01,OTHERS,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,15675.0,2
2023-02-01,WA,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,20000.0,2
2023-04-01,QLD,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,15000.0,2
2023-05-01,VIC,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,51490.0,4
2023-05-01,VIC,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,9050.0,4
